codigo_comuna,edad,sexo,poblacion
01101,0 a 4,hombres,7186
01101,10 a 14,hombres,6410
01101,100 o mas,hombres,15
01101,15 a 19,hombres,6597
01101,20 a 24,hombres,7574
01101,25 a 29,hombres,8896
01101,30 a 34,hombres,8180
01101,35 a 39,hombres,7393
01101,40 a 44,hombres,6586
01101,45 a 49,hombres,5696
01101,5 a 9,hombres,7200
01101,50 a 54,hombres,5591
01101,55 a 59,hombres,5052
01101,60 a 64,hombres,4613
01101,65 a 69,hombres,3089
01101,70 a 74,hombres,2208
01101,75 a 79,hombres,1236
01101,80 a 84,hombres,744
01101,85 a 89,hombres,439
01101,90 a 94,hombres,161
01101,95 a 99,hombres,31
01107,0 a 4,hombres,5365
01107,10 a 14,hombres,4862
01107,100 o mas,hombres,9
01107,15 a 19,hombres,4836
01107,20 a 24,hombres,5050
01107,25 a 29,hombres,5005
01107,30 a 34,hombres,4284
01107,35 a 39,hombres,3801
01107,40 a 44,hombres,3369
01107,45 a 49,hombres,3087
01107,5 a 9,hombres,5492
01107,50 a 54,hombres,3015
01107,55 a 59,hombres,2253
01107,60 a 64,hombres,1655
01107,65 a 69,hombres,1003
01107,70 a 74,hombres,589
01107,75 a 79,hombres,277
01107,80 a 84,hombres,145
01107,85 a 89,hombres,76
01107,90 a 94,hombres,25
01107,95 a 99,hombres,8
01401,0 a 4,hombres,617
01401,10 a 14,hombres,526
01401,100 o mas,hombres,1
01401,15 a 19,hombres,848
01401,20 a 24,hombres,764
01401,25 a 29,hombres,800
01401,30 a 34,hombres,819
01401,35 a 39,hombres,749
01401,40 a 44,hombres,705
01401,45 a 49,hombres,544
01401,5 a 9,hombres,641
01401,50 a 54,hombres,536
01401,55 a 59,hombres,462
01401,60 a 64,hombres,366
01401,65 a 69,hombres,220
01401,70 a 74,hombres,190
01401,75 a 79,hombres,99
01401,80 a 84,hombres,65
01401,85 a 89,hombres,26
01401,90 a 94,hombres,8
01401,95 a 99,hombres,1
01402,0 a 4,hombres,50
01402,10 a 14,hombres,40
01402,100 o mas,hombres,1
01402,15 a 19,hombres,46
01402,20 a 24,hombres,42
01402,25 a 29,hombres,44
01402,30 a 34,hombres,41
01402,35 a 39,hombres,25
01402,40 a 44,hombres,55
01402,45 a 49,hombres,44
01402,5 a 9,hombres,43
01402,50 a 54,hombres,45
01402,55 a 59,hombres,40
01402,60 a 64,hombres,34
01402,65 a 69,hombres,27
01402,70 a 74,hombres,28
01402,75 a 79,hombres,21
01402,80 a 84,hombres,16
01402,85 a 89,hombres,10
01402,90 a 94,hombres,3
01402,95 a 99,hombres,2
01403,0 a 4,hombres,41
01403,10 a 14,hombres,42
01403,100 o mas,hombres,0
01403,15 a 19,hombres,71
01403,20 a 24,hombres,98
01403,25 a 29,hombres,122
01403,30 a 34,hombres,98
01403,35 a 39,hombres,83
01403,40 a 44,hombres,77
01403,45 a 49,hombres,58
01403,5 a 9,hombres,43
01403,50 a 54,hombres,48
01403,55 a 59,hombres,43
01403,60 a 64,hombres,59
01403,65 a 69,hombres,39
01403,70 a 74,hombres,29
01403,75 a 79,hombres,27
01403,80 a 84,hombres,9
01403,85 a 89,hombres,5
01403,90 a 94,hombres,2
01403,95 a 99,hombres,1
01404,0 a 4,hombres,98
01404,10 a 14,hombres,96
01404,100 o mas,hombres,1
01404,15 a 19,hombres,76
01404,20 a 24,hombres,98
01404,25 a 29,hombres,113
01404,30 a 34,hombres,107
01404,35 a 39,hombres,103
01404,40 a 44,hombres,85
01404,45 a 49,hombres,108
01404,5 a 9,hombres,130
01404,50 a 54,hombres,100
01404,55 a 59,hombres,100
01404,60 a 64,hombres,74
01404,65 a 69,hombres,77
01404,70 a 74,hombres,52
01404,75 a 79,hombres,44
01404,80 a 84,hombres,20
01404,85 a 89,hombres,12
01404,90 a 94,hombres,6
01404,95 a 99,hombres,1
01405,0 a 4,hombres,196
01405,10 a 14,hombres,183
01405,100 o mas,hombres,0
01405,15 a 19,hombres,178
01405,20 a 24,hombres,291
01405,25 a 29,hombres,740
01405,30 a 34,hombres,902
01405,35 a 39,hombres,907
01405,40 a 44,hombres,827
01405,45 a 49,hombres,728
01405,5 a 9,hombres,223
01405,50 a 54,hombres,517
01405,55 a 59,hombres,324
01405,60 a 64,hombres,208
01405,65 a 69,hombres,115
01405,70 a 74,hombres,91
01405,75 a 79,hombres,58
01405,80 a 84,hombres,27
01405,85 a 89,hombres,21
01405,90 a 94,hombres,11
01405,95 a 99,hombres,3
02101,0 a 4,hombres,12815
02101,10 a 14,hombres,12462
02101,100 o mas,hombres,32
02101,15 a 19,hombres,14146
02101,20 a 24,hombres,17015
02101,25 a 29,hombres,17765
02101,30 a 34,hombres,15352
02101,35 a 39,hombres,14031
02101,40 a 44,hombres,13618
02101,45 a 49,hombres,11862
02101,5 a 9,hombres,13581
02101,50 a 54,hombres,10745
02101,55 a 59,hombres,9311
02101,60 a 64,hombres,7235
02101,65 a 69,hombres,4768
02101,70 a 74,hombres,3192
02101,75 a 79,hombres,1966
02101,80 a 84,hombres,1131
02101,85 a 89,hombres,593
02101,90 a 94,hombres,196
02101,95 a 99,hombres,30
02102,0 a 4,hombres,462
02102,10 a 14,hombres,423
02102,100 o mas,hombres,0
02102,15 a 19,hombres,397
02102,20 a 24,hombres,613
02102,25 a 29,hombres,884
02102,30 a 34,hombres,781
02102,35 a 39,hombres,705
02102,40 a 44,hombres,721
02102,45 a 49,hombres,701
02102,5 a 9,hombres,470
02102,50 a 54,hombres,672
02102,55 a 59,hombres,491
02102,60 a 64,hombres,325
02102,65 a 69,hombres,183
02102,70 a 74,hombres,97
02102,75 a 79,hombres,64
02102,80 a 84,hombres,24
02102,85 a 89,hombres,14
02102,90 a 94,hombres,7
02102,95 a 99,hombres,1
02103,0 a 4,hombres,55
02103,10 a 14,hombres,51
02103,100 o mas,hombres,0
02103,15 a 19,hombres,62
02103,20 a 24,hombres,447
02103,25 a 29,hombres,1161
02103,30 a 34,hombres,1407
02103,35 a 39,hombres,1405
02103,40 a 44,hombres,1394
02103,45 a 49,hombres,1090
02103,5 a 9,hombres,68
02103,50 a 54,hombres,770
02103,55 a 59,hombres,448
02103,60 a 64,hombres,214
02103,65 a 69,hombres,58
02103,70 a 74,hombres,16
02103,75 a 79,hombres,9
02103,80 a 84,hombres,4
02103,85 a 89,hombres,2
02103,90 a 94,hombres,1
02103,95 a 99,hombres,0
02104,0 a 4,hombres,470
02104,10 a 14,hombres,480
02104,100 o mas,hombres,1
02104,15 a 19,hombres,411
02104,20 a 24,hombres,464
02104,25 a 29,hombres,674
02104,30 a 34,hombres,620
02104,35 a 39,hombres,617
02104,40 a 44,hombres,618
02104,45 a 49,hombres,589
02104,5 a 9,hombres,509
02104,50 a 54,hombres,566
02104,55 a 59,hombres,470
02104,60 a 64,hombres,385
02104,65 a 69,hombres,226
02104,70 a 74,hombres,167
02104,75 a 79,hombres,107
02104,80 a 84,hombres,66
02104,85 a 89,hombres,28
02104,90 a 94,hombres,11
02104,95 a 99,hombres,2
02201,0 a 4,hombres,6386
02201,10 a 14,hombres,6016
02201,100 o mas,hombres,11
02201,15 a 19,hombres,6346
02201,20 a 24,hombres,6596
02201,25 a 29,hombres,8034
02201,30 a 34,hombres,7548
02201,35 a 39,hombres,7371
02201,40 a 44,hombres,6796
02201,45 a 49,hombres,5891
02201,5 a 9,hombres,6354
02201,50 a 54,hombres,5622
02201,55 a 59,hombres,4613
02201,60 a 64,hombres,3409
02201,65 a 69,hombres,2124
02201,70 a 74,hombres,1410
02201,75 a 79,hombres,740
02201,80 a 84,hombres,453
02201,85 a 89,hombres,230
02201,90 a 94,hombres,79
02201,95 a 99,hombres,20
02202,0 a 4,hombres,10
02202,10 a 14,hombres,15
02202,100 o mas,hombres,0
02202,15 a 19,hombres,8
02202,20 a 24,hombres,12
02202,25 a 29,hombres,26
02202,30 a 34,hombres,18
02202,35 a 39,hombres,28
02202,40 a 44,hombres,20
02202,45 a 49,hombres,21
02202,5 a 9,hombres,8
02202,50 a 54,hombres,16
02202,55 a 59,hombres,10
02202,60 a 64,hombres,7
02202,65 a 69,hombres,2
02202,70 a 74,hombres,2
02202,75 a 79,hombres,1
02202,80 a 84,hombres,2
02202,85 a 89,hombres,1
02202,90 a 94,hombres,0
02202,95 a 99,hombres,0
02203,0 a 4,hombres,303
02203,10 a 14,hombres,279
02203,100 o mas,hombres,0
02203,15 a 19,hombres,218
02203,20 a 24,hombres,426
02203,25 a 29,hombres,792
02203,30 a 34,hombres,724
02203,35 a 39,hombres,735
02203,40 a 44,hombres,617
02203,45 a 49,hombres,492
02203,5 a 9,hombres,335
02203,50 a 54,hombres,380
02203,55 a 59,hombres,311
02203,60 a 64,hombres,229
02203,65 a 69,hombres,122
02203,70 a 74,hombres,73
02203,75 a 79,hombres,60
02203,80 a 84,hombres,38
02203,85 a 89,hombres,19
02203,90 a 94,hombres,4
02203,95 a 99,hombres,4
02301,0 a 4,hombres,1016
02301,10 a 14,hombres,945
02301,100 o mas,hombres,4
02301,15 a 19,hombres,912
02301,20 a 24,hombres,824
02301,25 a 29,hombres,974
02301,30 a 34,hombres,909
02301,35 a 39,hombres,802
02301,40 a 44,hombres,785
02301,45 a 49,hombres,784
02301,5 a 9,hombres,1101
02301,50 a 54,hombres,786
02301,55 a 59,hombres,802
02301,60 a 64,hombres,658
02301,65 a 69,hombres,475
02301,70 a 74,hombres,316
02301,75 a 79,hombres,198
02301,80 a 84,hombres,109
02301,85 a 89,hombres,60
02301,90 a 94,hombres,15
02301,95 a 99,hombres,6
02302,0 a 4,hombres,148
02302,10 a 14,hombres,166
02302,100 o mas,hombres,0
