geocodigo,edad,poblacion
01101011001,0 a 5,189
01101011002,0 a 5,101
01101021001,0 a 5,74
01101021002,0 a 5,4
01101021003,0 a 5,234
01101021004,0 a 5,252
01101021005,0 a 5,490
01101031001,0 a 5,234
01101031002,0 a 5,277
01101031003,0 a 5,445
01101031004,0 a 5,338
01101041001,0 a 5,122
01101041002,0 a 5,214
01101041003,0 a 5,381
01101041004,0 a 5,529
01101041005,0 a 5,393
01101041006,0 a 5,190
01101051001,0 a 5,140
01101051002,0 a 5,300
01101051003,0 a 5,372
01101051004,0 a 5,113
01101051005,0 a 5,246
01101051006,0 a 5,192
01101061001,0 a 5,118
01101061002,0 a 5,348
01101061003,0 a 5,403
01101061004,0 a 5,308
01101061005,0 a 5,169
01101071001,0 a 5,124
01101071002,0 a 5,198
01101071003,0 a 5,336
01101071004,0 a 5,118
01101081001,0 a 5,431
01101081002,0 a 5,282
01101081003,0 a 5,90
01101081004,0 a 5,161
01101092001,0 a 5,0
01101092004,0 a 5,0
01101092005,0 a 5,0
01101092006,0 a 5,65
01101092007,0 a 5,5
01101092010,0 a 5,36
01101092012,0 a 5,6
01101092014,0 a 5,0
01101092016,0 a 5,0
01101092017,0 a 5,0
01101092018,0 a 5,0
01101092019,0 a 5,0
01101092020,0 a 5,0
01101092021,0 a 5,0
01101092022,0 a 5,0
01101092023,0 a 5,0
01101092024,0 a 5,0
01101092901,0 a 5,0
01101101001,0 a 5,187
01101101002,0 a 5,389
01101101003,0 a 5,357
01101101004,0 a 5,303
01101101005,0 a 5,457
01101101006,0 a 5,276
01101111001,0 a 5,383
01101111002,0 a 5,184
01101111003,0 a 5,413
01101111004,0 a 5,367
01101111005,0 a 5,306
01101111006,0 a 5,377
01101111007,0 a 5,472
01101111008,0 a 5,343
01101111009,0 a 5,401
01101111010,0 a 5,0
01101111011,0 a 5,367
01101111012,0 a 5,233
01101111013,0 a 5,332
01101111014,0 a 5,254
01101112002,0 a 5,0
01101112003,0 a 5,4
01101112013,0 a 5,0
01101112019,0 a 5,0
01101112025,0 a 5,0
01101112901,0 a 5,0
01101991999,0 a 5,57
01107011001,0 a 5,403
01107011002,0 a 5,353
01107011003,0 a 5,848
01107012003,0 a 5,0
01107012007,0 a 5,0
01107012009,0 a 5,0
01107012901,0 a 5,0
01107021001,0 a 5,743
01107021002,0 a 5,410
01107021003,0 a 5,643
01107021004,0 a 5,437
01107021005,0 a 5,445
01107021006,0 a 5,319
01107021007,0 a 5,411
01107021008,0 a 5,437
01107031001,0 a 5,446
01107031002,0 a 5,611
01107031003,0 a 5,583
01107032005,0 a 5,0
01107032006,0 a 5,0
01107032008,0 a 5,0
01107041001,0 a 5,244
01107041002,0 a 5,411
01107041003,0 a 5,405
01107041004,0 a 5,686
01107041005,0 a 5,360
01107041006,0 a 5,342
01107041007,0 a 5,472
01107042002,0 a 5,0
01107991999,0 a 5,96
01401011001,0 a 5,221
01401011002,0 a 5,430
01401012001,0 a 5,0
01401012018,0 a 5,0
01401012021,0 a 5,13
01401012901,0 a 5,0
01401022005,0 a 5,0
01401022010,0 a 5,0
01401022014,0 a 5,0
01401022015,0 a 5,10
01401022017,0 a 5,0
01401022019,0 a 5,0
01401022022,0 a 5,0
01401022024,0 a 5,0
01401022029,0 a 5,0
01401032002,0 a 5,0
01401032006,0 a 5,0
01401032007,0 a 5,0
01401032011,0 a 5,29
01401032012,0 a 5,165
01401032025,0 a 5,0
01401032026,0 a 5,0
01401032901,0 a 5,0
01401052004,0 a 5,0
01401052009,0 a 5,0
01401052016,0 a 5,0
01401052020,0 a 5,7
01401052901,0 a 5,15
01401062013,0 a 5,0
