commune_id,circumscription_id,circumscription_senators,district_id,district_deputies
15101,1,2,1,3
15102,1,2,1,3
15202,1,2,1,3
15201,1,2,1,3
01107,2,2,2,3
01402,2,2,2,3
01403,2,2,2,3
01404,2,2,2,3
01101,2,2,2,3
01405,2,2,2,3
01401,2,2,2,3
02201,3,3,3,5
02302,3,3,3,5
02202,3,3,3,5
02203,3,3,3,5
02301,3,3,3,5
02101,3,3,3,5
02102,3,3,3,5
02103,3,3,3,5
02104,3,3,3,5
03201,4,2,4,5
03101,4,2,4,5
03202,4,2,4,5
03302,4,2,4,5
03102,4,2,4,5
03303,4,2,4,5
03304,4,2,4,5
03103,4,2,4,5
03301,4,2,4,5
04103,5,3,5,7
04104,5,3,5,7
04101,5,3,5,7
04105,5,3,5,7
04106,5,3,5,7
04102,5,3,5,7
04301,5,3,5,7
04305,5,3,5,7
04202,5,3,5,7
04302,5,3,5,7
04201,5,3,5,7
04203,5,3,5,7
04303,5,3,5,7
04304,5,3,5,7
04204,5,3,5,7
05402,6,5,6,8
05502,6,5,6,8
05503,6,5,6,8
05504,6,5,6,8
05401,6,5,6,8
05506,6,5,6,8
05403,6,5,6,8
05404,6,5,6,8
05105,6,5,6,8
05501,6,5,6,8
05107,6,5,6,8
05405,6,5,6,8
05302,6,5,6,8
05702,6,5,6,8
05703,6,5,6,8
05301,6,5,6,8
05704,6,5,6,8
05705,6,5,6,8
05303,6,5,6,8
05304,6,5,6,8
05701,6,5,6,8
05706,6,5,6,8
05802,6,5,6,8
05803,6,5,6,8
05801,6,5,6,8
05804,6,5,6,8
05201,6,5,7,8
05104,6,5,7,8
05101,6,5,7,8
05103,6,5,7,8
05109,6,5,7,8
05602,6,5,7,8
05603,6,5,7,8
05102,6,5,7,8
05604,6,5,7,8
05605,6,5,7,8
05601,6,5,7,8
05606,6,5,7,8
13301,7,5,8,8
13302,7,5,8,8
13125,7,5,8,8
13124,7,5,8,8
13303,7,5,8,8
13102,7,5,8,8
13106,7,5,8,8
13119,7,5,8,8
13104,7,5,9,7
13107,7,5,9,7
13128,7,5,9,7
13103,7,5,9,7
13117,7,5,9,7
13126,7,5,9,7
13108,7,5,9,7
13127,7,5,9,7
13120,7,5,10,8
13123,7,5,10,8
13101,7,5,10,8
13111,7,5,10,8
13118,7,5,10,8
13129,7,5,10,8
13114,7,5,11,6
13115,7,5,11,6
13132,7,5,11,6
13113,7,5,11,6
13122,7,5,11,6
13110,7,5,12,7
13112,7,5,12,7
13202,7,5,12,7
13201,7,5,12,7
